"V1" "V4"
"ENSG00000203668" 17
"ENSG00000053918" 20
"ENSG00000075043" 28
"ENSG00000184156" 61
"ENSG00000124134" 10
"ENSG00000156486" 18
"ENSG00000181786" 18
"ENSG00000214866" 10
"ENSG00000259120" 1
"ENSG00000242715" 12
"ENSG00000117971" 19
"ENSG00000147432" 21
"ENSG00000160716" 22
"ENSG00000170175" 13
"ENSG00000175344" 2
"ENSG00000169684" 6
"ENSG00000101204" 26
"ENSG00000080644" 7
"ENSG00000120903" 7
"ENSG00000138435" 21
"ENSG00000184984" 11
"ENSG00000138030" 5
"ENSG00000068796" 11
"ENSG00000084731" 15
"ENSG00000155980" 24
"ENSG00000170759" 15
"ENSG00000197608" 21
"ENSG00000197619" 22
"ENSG00000186334" 11
"ENSG00000226650" 40
"ENSG00000114737" 6
"ENSG00000099622" 4
"ENSG00000166165" 5
"ENSG00000109536" 2
"ENSG00000214782" 10
"ENSG00000176194" 2
"ENSG00000213341" 18
"ENSG00000196811" 7
"ENSG00000108556" 6
"ENSG00000135902" 11
"ENSG00000198793" 51
"ENSG00000179213" 16
"ENSG00000213022" 7
"ENSG00000182450" 4
"ENSG00000161671" 4
"ENSG00000104177" 16
"ENSG00000113430" 15
"ENSG00000147853" 5
"ENSG00000153317" 28
"ENSG00000127483" 12
"ENSG00000123975" 2
"ENSG00000167996" 3
"ENSG00000173207" 4
"ENSG00000116833" 21
"ENSG00000182613" 9
"ENSG00000049167" 5
"ENSG00000170820" 33
"ENSG00000131730" 6
"ENSG00000102384" 15
"ENSG00000237289" 1
"ENSG00000104879" 9
"ENSG00000131808" 2
"ENSG00000162998" 4
"ENSG00000182264" 8
"ENSG00000105254" 5
"ENSG00000176909" 8
"ENSG00000235931" 4
"ENSG00000178928" 9
"ENSG00000179846" 7
"ENSG00000104866" 13
"ENSG00000111652" 3
"ENSG00000147383" 6
"ENSG00000177879" 5
"ENSG00000042753" 2
"ENSG00000106367" 2
"ENSG00000161203" 8
"ENSG00000167637" 16
"ENSG00000159871" 3
"ENSG00000187860" 12
"ENSG00000176472" 3
"ENSG00000116786" 15
"ENSG00000132718" 12
"ENSG00000100427" 7
"ENSG00000221954" 26
"ENSG00000258817" 25
"ENSG00000159374" 11
"ENSG00000186510" 14
"ENSG00000164663" 10
"ENSG00000103249" 16
"ENSG00000058063" 24
"ENSG00000095397" 18
"ENSG00000011021" 11
"ENSG00000054965" 3
"ENSG00000248487" 3
"ENSG00000171365" 14
"ENSG00000073464" 18
"ENSG00000165688" 11
"ENSG00000109572" 14
"ENSG00000170540" 4
"ENSG00000105287" 24
"ENSG00000114859" 19
"ENSG00000103740" 16
"ENSG00000188037" 34
"ENSG00000123094" 5
"ENSG00000016490" 18
"ENSG00000105205" 2
"ENSG00000143507" 8
"ENSG00000140853" 31
"ENSG00000169604" 13
"ENSG00000114686" 9
"ENSG00000136942" 4
"ENSG00000136542" 24
"ENSG00000100325" 8
"ENSG00000139629" 20
"ENSG00000160796" 33
"ENSG00000143756" 5
"ENSG00000145777" 4
"ENSG00000179335" 13
"ENSG00000070495" 6
"ENSG00000130255" 1
"ENSG00000130749" 17
"ENSG00000176444" 10
"ENSG00000179041" 4
"ENSG00000050426" 6
"ENSG00000013441" 19
"ENSG00000137573" 36
"ENSG00000143158" 3
"ENSG00000169180" 16
"ENSG00000155962" 8
"ENSG00000117523" 50
"ENSG00000101222" 5
"ENSG00000206394" 7
"ENSG00000065882" 31
"ENSG00000164934" 7
